transaction_id,date,account,description_raw,amount,txn_type,merchant,category,month,day_of_week,is_expense,is_income
TXN1024,2026-02-01,Checking ...4821,SQ*STARBUCKS COFFEE,-6.8,Purchase,Starbucks,Food and Restaurants,2026-02,Sunday,True,False
TXN1020,2026-02-01,Checking ...4821,SHELL OIL 369,-46.97,Purchase,Shell Gas Station,Transportation,2026-02,Sunday,True,False
TXN1015,2026-02-02,Checking ...4821,VZWRLSS*784,-85.0,Payment,Verizon Wireless,Bills,2026-02,Monday,True,False
TXN1005,2026-02-02,Checking ...4821,SPOTIFY USA,-11.99,Payment,Spotify,Subscriptions,2026-02,Monday,True,False
TXN1012,2026-02-02,Credit Card ...9033,PACIFIC PWR ELEC BILL,-144.81,Payment,Pacific Power Electric,Bills,2026-02,Monday,True,False
TXN1023,2026-02-02,Checking ...4821,SHELL OIL 551,-36.67,Purchase,Shell Gas Station,Transportation,2026-02,Monday,True,False
TXN1054,2026-02-03,Credit Card ...9033,TRADER JOE S #749,-53.51,Purchase,Trader Joe's,Food and Restaurants,2026-02,Tuesday,True,False
TXN1051,2026-02-03,Checking ...4821,DOORDASH*997,-20.72,Purchase,DoorDash,Food and Restaurants,2026-02,Tuesday,True,False
TXN1016,2026-02-03,Credit Card ...9033,STATEFARM 272,-120.0,Payment,State Farm Insurance,Bills,2026-02,Tuesday,True,False
TXN1452,2026-02-03,Credit Card ...9033,DELTA.COM 447,-612.0,Purchase,Delta Airlines,Travel,2026-02,Tuesday,True,False
TXN1006,2026-02-03,Checking ...4821,PRIME VIDEO CHANNELS,-14.99,Payment,Amazon Prime,Subscriptions,2026-02,Tuesday,True,False
TXN1055,2026-02-03,Credit Card ...9033,WAL-MART #564,-42.77,Purchase,Walmart,Shopping,2026-02,Tuesday,True,False
TXN1048,2026-02-04,Checking ...4821,TRADER JOES 266,-63.86,Purchase,Trader Joe's,Food and Restaurants,2026-02,Wednesday,True,False
TXN1042,2026-02-04,Checking ...4821,SHELL SERVICE STATION,-49.48,Purchase,Shell Gas Station,Transportation,2026-02,Wednesday,True,False
TXN1009,2026-02-04,Credit Card ...9033,APPLE.COM/BILL,-2.99,Payment,iCloud Storage,Subscriptions,2026-02,Wednesday,True,False
TXN1002,2026-02-05,Checking ...4821,RENTERS INS PREMIUM,-18.4,Payment,Renters Insurance Co,Rent and Housing,2026-02,Thursday,True,False
TXN1036,2026-02-05,Credit Card ...9033,MCDONALDS #925,-6.31,Purchase,McDonald's,Food and Restaurants,2026-02,Thursday,True,False
TXN1028,2026-02-05,Checking ...4821,CHICK-FIL-A #876,-12.94,Purchase,Chick-fil-A,Food and Restaurants,2026-02,Thursday,True,False
