transaction_id,date,account_id,merchant_id,description_raw,amount,txn_type
TXN1024,2026-02-01,1,1,SQ*STARBUCKS COFFEE,-6.8,Purchase
TXN1020,2026-02-01,1,2,SHELL OIL 369,-46.97,Purchase
TXN1015,2026-02-02,1,3,VZWRLSS*784,-85.0,Payment
TXN1005,2026-02-02,1,4,SPOTIFY USA,-11.99,Payment
TXN1012,2026-02-02,2,5,PACIFIC PWR ELEC BILL,-144.81,Payment
TXN1023,2026-02-02,1,2,SHELL OIL 551,-36.67,Purchase
TXN1054,2026-02-03,2,6,TRADER JOE S #749,-53.51,Purchase
TXN1051,2026-02-03,1,7,DOORDASH*997,-20.72,Purchase
TXN1016,2026-02-03,2,8,STATEFARM 272,-120.0,Payment
TXN1452,2026-02-03,2,9,DELTA.COM 447,-612.0,Purchase
TXN1006,2026-02-03,1,10,PRIME VIDEO CHANNELS,-14.99,Payment
TXN1055,2026-02-03,2,11,WAL-MART #564,-42.77,Purchase
TXN1048,2026-02-04,1,6,TRADER JOES 266,-63.86,Purchase
TXN1042,2026-02-04,1,2,SHELL SERVICE STATION,-49.48,Purchase
TXN1009,2026-02-04,2,12,APPLE.COM/BILL,-2.99,Payment
TXN1002,2026-02-05,1,13,RENTERS INS PREMIUM,-18.4,Payment
TXN1036,2026-02-05,2,14,MCDONALDS #925,-6.31,Purchase
TXN1028,2026-02-05,1,15,CHICK-FIL-A #876,-12.94,Purchase
TXN1057,2026-02-06,1,16,WHOLE FOODS MARKET,-58.18,Purchase
TXN1058,2026-02-06,1,15,CHICK-FIL-A #356,-9.48,Purchase
TXN1071,2026-02-06,1,17,ACME CORP DIRECT DEP,2058.19,Deposit
TXN1043,2026-02-07,1,1,SQ *STARBUCKS #619 SEATTLE WA,-5.5,Purchase
TXN1059,2026-02-07,2,15,CHICK-FIL-A #557,-11.49,Purchase
TXN1014,2026-02-07,2,18,COMCAST CABLE COMM,-79.99,Payment
TXN1064,2026-02-09,2,6,TRADER JOES 472,-67.67,Purchase
TXN1056,2026-02-09,1,19,THE LOCAL DINER,-22.38,Purchase
TXN1065,2026-02-10,2,20,OLD NAVY #101,-35.69,Purchase
TXN1001,2026-02-11,1,21,SKYLINE APARTMENTS RENT,-1450.0,Payment
TXN1033,2026-02-11,1,19,THE LOCAL DINER,-15.08,Purchase
TXN1039,2026-02-11,1,22,PARKWHIZ 954,-9.52,Purchase
TXN1029,2026-02-12,2,16,WHOLE FOODS MARKET,-128.83,Purchase
TXN1032,2026-02-12,1,23,CHEVRON/TEXACO 473,-42.31,Purchase
TXN1010,2026-02-12,1,24,DISNEYPLUS.COM,-13.99,Payment
TXN1003,2026-02-13,1,25,CITY TRANSIT AUTHORITY,-60.0,Payment
TXN1060,2026-02-13,1,26,UBER *TRIP HELP.UBER.COM,-31.29,Purchase
TXN1049,2026-02-13,1,27,COURSERA 465,-49.0,Purchase
TXN1034,2026-02-13,2,14,MCDONALD'S F589,-12.2,Purchase
TXN1025,2026-02-13,2,6,TRADER JOES 455,-43.88,Purchase
TXN1067,2026-02-13,1,28,LYFT   RIDE TUE,-9.54,Purchase
TXN1017,2026-02-14,2,29,FEDLOAN SERVICING,-210.0,Payment
TXN1040,2026-02-15,1,30,UBER EATS 946,-31.89,Purchase
TXN1041,2026-02-15,1,1,SQ*STARBUCKS COFFEE,-7.74,Purchase
TXN1044,2026-02-15,2,31,NIKE.COM 809,-77.45,Purchase
TXN1026,2026-02-15,1,32,TARGET.COM *187,-80.05,Purchase
TXN1018,2026-02-15,2,33,CHIPOTLE MEXICAN GRILL,-12.21,Purchase
TXN1046,2026-02-15,1,14,MCDONALD'S F538,-8.56,Purchase
TXN1072,2026-02-16,1,17,ACME CORP DIRECT DEP,2016.93,Deposit
TXN1027,2026-02-16,1,34,AUTOZONE #628,-78.82,Purchase
TXN1053,2026-02-17,1,26,UBER *TRIP HELP.UBER.COM,-21.78,Purchase
TXN1073,2026-02-17,1,35,VENMO   TRANSFER IN,99.12,Transfer
TXN1013,2026-02-17,2,36,METRO WATER 170,-45.82,Payment
TXN1031,2026-02-17,2,6,TRADER JOE S #128,-71.42,Purchase
TXN1045,2026-02-17,2,37,AMZN MKTP US*672,-174.88,Purchase
